Date,Open,High,Low,Close,Adj Close,Volume
2016-09-26,69.180000,70.000000,68.790001,68.839996,62.998650,687800
2016-09-27,68.739998,69.000000,68.519997,68.550003,62.733284,806700
2016-09-28,68.559998,68.559998,68.050003,68.209999,62.422115,622100
2016-09-29,68.309998,68.680000,67.000000,67.480003,61.754063,889600
2016-09-30,67.800003,68.080002,67.360001,67.540001,61.808975,905300
2016-10-03,67.279999,67.690002,66.769997,67.050003,61.360550,995200
2016-10-04,67.209999,67.470001,66.589996,66.790001,61.122623,681700
2016-10-05,66.800003,67.129997,66.610001,66.870003,61.195835,822300
2016-10-06,66.879997,67.400002,66.510002,67.349998,61.635090,605900
2016-10-07,67.470001,67.470001,66.470001,67.029999,61.342255,488600
2016-10-10,67.129997,67.440002,66.320000,66.419998,60.784016,932600
2016-10-11,66.160004,66.860001,65.540001,65.940002,60.344742,949600
2016-10-12,65.739998,66.650002,65.709999,66.459999,60.820621,828700
2016-10-13,66.139999,67.010002,65.970001,66.839996,61.168373,1269200
2016-10-14,67.410004,67.419998,66.959999,67.239998,61.534435,603900
2016-10-17,67.459999,67.769997,66.250000,66.379997,60.747406,547700
2016-10-18,66.790001,67.180000,66.110001,66.209999,60.591846,397100
2016-10-19,66.160004,66.470001,65.849998,66.400002,60.765720,569600
2016-10-20,66.529999,66.580002,65.629997,65.730003,60.152565,557100
2016-10-21,65.410004,66.309998,65.220001,66.180000,60.564381,620300
2016-10-24,66.260002,66.769997,66.199997,66.300003,60.674194,499000
2016-10-25,66.400002,66.809998,66.059998,66.360001,60.729111,1008900
2016-10-26,65.220001,66.610001,64.279999,64.690002,59.200813,1275300
2016-10-27,64.550003,64.550003,63.320000,63.950001,58.523613,1153100
2016-10-28,64.040001,64.589996,63.720001,64.089996,58.651730,493900
2016-10-31,64.129997,64.269997,63.830002,63.970001,58.541901,677200
2016-11-01,63.799999,64.199997,63.299999,63.520000,58.130093,971600
2016-11-02,63.650002,64.050003,63.529999,63.759998,58.349712,699300
